ANTENNA "BRCU0011"
LOCATION 669238.830 7803099.253 1098.000
FREQUENCY 2600.00000000
POWER 39.811 W EIRP
ANTENNA_TYPE ISO
LOWER_LEFT 668195.61120000 7802110.33140000
UPPER_RIGHT 671915.61120000 7804350.33140000
HEIGHT 43.00000000
RESOLUTION 20.00000000
RECEIVER_GAIN 0.00000000
               
BEGIN_DATA
668205.61120 7802120.33140 -131.61013
668205.61120 7802140.33140 -137.04536
668205.61120 7802160.33140 -137.04442
668205.61120 7802180.33140 -130.54287
668205.61120 7802200.33140 -109.80245
668205.61120 7802220.33140 -109.72131
668205.61120 7802240.33140 -109.64872
668205.61120 7802260.33140 -109.57313
668205.61120 7802280.33140 -109.51081
668205.61120 7802300.33140 -109.44281
668205.61120 7802320.33140 -109.32898
668205.61120 7802340.33140 -109.17467
668205.61120 7802360.33140 -109.04393
668205.61120 7802380.33140 -108.98334
668205.61120 7802400.33140 -108.92695
668205.61120 7802420.33140 -108.88066
668205.61120 7802440.33140 -108.83449
668205.61120 7802460.33140 -108.77963
668205.61120 7802480.33140 -108.68239
668205.61120 7802500.33140 -108.56710
668205.61120 7802520.33140 -108.46945
668205.61120 7802540.33140 -108.37066
668205.61120 7802560.33140 -108.27014
668205.61120 7802580.33140 -108.15682
668205.61120 7802600.33140 -108.00859
668205.61120 7802620.33140 -128.97600
668205.61120 7802640.33140 -107.98283
668205.61120 7802660.33140 -107.99457
668205.61120 7802680.33140 -107.91202
668205.61120 7802700.33140 -107.77754
668205.61120 7802720.33140 -107.64686
668205.61120 7802740.33140 -130.47095
668205.61120 7802760.33140 -137.80453
668205.61120 7802780.33140 -136.40169
668205.61120 7802800.33140 -139.40122
668205.61120 7802820.33140 -138.49083
668205.61120 7802840.33140 -130.16218
668205.61120 7802860.33140 -127.89984
668205.61120 7802880.33140 -107.33657
668205.61120 7802900.33140 -107.31338
668205.61120 7802920.33140 -107.27485
668205.61120 7802940.33140 -107.17905
668205.61120 7802960.33140 -107.06843
668205.61120 7802980.33140 -132.91570
668205.61120 7803000.33140 -140.46763
668205.61120 7803020.33140 -142.79238
668205.61120 7803040.33140 -140.30699
668205.61120 7803060.33140 -141.21677
668205.61120 7803080.33140 -141.52941
668205.61120 7803100.33140 -142.03556
668205.61120 7803120.33140 -143.22639
668205.61120 7803140.33140 -144.00495
668205.61120 7803160.33140 -144.65850
668205.61120 7803180.33140 -144.76718
668205.61120 7803200.33140 -145.38650
668205.61120 7803220.33140 -145.57490
668205.61120 7803240.33140 -145.47010
668205.61120 7803260.33140 -145.55284
668205.61120 7803280.33140 -145.67043
668205.61120 7803300.33140 -145.66029
668205.61120 7803320.33140 -145.99623
668205.61120 7803340.33140 -146.46197
668205.61120 7803360.33140 -146.58442
668205.61120 7803380.33140 -146.85529
668205.61120 7803400.33140 -147.11667
668205.61120 7803420.33140 -146.91362
668205.61120 7803440.33140 -146.34292
668205.61120 7803460.33140 -145.27311
668205.61120 7803480.33140 -145.38548
668205.61120 7803500.33140 -145.36516
668205.61120 7803520.33140 -145.48743
668205.61120 7803540.33140 -145.57311
668205.61120 7803560.33140 -146.07761
668205.61120 7803580.33140 -146.09904
668205.61120 7803600.33140 -146.46982
668205.61120 7803620.33140 -146.52482
668205.61120 7803640.33140 -146.76418
668205.61120 7803660.33140 -146.85139
668205.61120 7803680.33140 -147.02886
668205.61120 7803700.33140 -147.22558
668205.61120 7803720.33140 -147.36840
668205.61120 7803740.33140 -147.50918
668205.61120 7803760.33140 -147.64021
668205.61120 7803780.33140 -147.74704
668205.61120 7803800.33140 -147.87913
668205.61120 7803820.33140 -147.92735
668205.61120 7803840.33140 -147.93156
668205.61120 7803860.33140 -148.08698
668205.61120 7803880.33140 -148.08314
668205.61120 7803900.33140 -147.90407
668205.61120 7803920.33140 -147.89963
668205.61120 7803940.33140 -148.13054
668205.61120 7803960.33140 -148.26073
668205.61120 7803980.33140 -148.21636
668205.61120 7804000.33140 -148.42639
668205.61120 7804020.33140 -148.47860
668205.61120 7804040.33140 -148.48503
668205.61120 7804060.33140 -148.65865
668205.61120 7804080.33140 -148.93456
668205.61120 7804100.33140 -149.14338
668205.61120 7804120.33140 -149.22554
668205.61120 7804140.33140 -149.25335
668205.61120 7804160.33140 -149.32459
668205.61120 7804180.33140 -149.44283
668205.61120 7804200.33140 -149.55425
668205.61120 7804220.33140 -149.68356
668205.61120 7804240.33140 -149.79227
668205.61120 7804260.33140 -149.86652
668205.61120 7804280.33140 -149.93288
668205.61120 7804300.33140 -149.93939
668205.61120 7804320.33140 -149.95436
668205.61120 7804340.33140 -149.86676
668205.61120 7804360.33140 -149.79951
668225.61120 7802120.33140 -126.08248
668225.61120 7802140.33140 -136.96266
668225.61120 7802160.33140 -136.39595
668225.61120 7802180.33140 -132.17544
668225.61120 7802200.33140 -109.70277
668225.61120 7802220.33140 -109.62809
668225.61120 7802240.33140 -109.54578
668225.61120 7802260.33140 -109.47563
668225.61120 7802280.33140 -109.40969
668225.61120 7802300.33140 -109.33439
668225.61120 7802320.33140 -109.20921
668225.61120 7802340.33140 -109.05141
668225.61120 7802360.33140 -108.92169
668225.61120 7802380.33140 -108.84480
668225.61120 7802400.33140 -108.78934
668225.61120 7802420.33140 -108.73452
668225.61120 7802440.33140 -108.67898
668225.61120 7802460.33140 -108.61603
668225.61120 7802480.33140 -108.52395
668225.61120 7802500.33140 -108.40793
668225.61120 7802520.33140 -108.32570
668225.61120 7802540.33140 -108.22769
668225.61120 7802560.33140 -108.11933
668225.61120 7802580.33140 -107.98117
668225.61120 7802600.33140 -128.14555
668225.61120 7802620.33140 -107.83471
668225.61120 7802640.33140 -107.84385
668225.61120 7802660.33140 -107.82133
668225.61120 7802680.33140 -107.70904
668225.61120 7802700.33140 -107.57068
668225.61120 7802720.33140 -124.62223
668225.61120 7802740.33140 -138.55751
668225.61120 7802760.33140 -135.86948
668225.61120 7802780.33140 -137.10328
668225.61120 7802800.33140 -136.41215
668225.61120 7802820.33140 -128.42741
668225.61120 7802840.33140 -107.30308
668225.61120 7802860.33140 -107.25983
668225.61120 7802880.33140 -107.16783
668225.61120 7802900.33140 -107.08619
668225.61120 7802920.33140 -106.99558
668225.61120 7802940.33140 -106.89332
668225.61120 7802960.33140 -127.42354
668225.61120 7802980.33140 -140.19562
668225.61120 7803000.33140 -144.16644
668225.61120 7803020.33140 -144.58618
668225.61120 7803040.33140 -143.28393
668225.61120 7803060.33140 -143.55821
668225.61120 7803080.33140 -143.04472
668225.61120 7803100.33140 -142.38673
668225.61120 7803120.33140 -143.42306
668225.61120 7803140.33140 -143.76001
668225.61120 7803160.33140 -142.41334
668225.61120 7803180.33140 -143.58789
668225.61120 7803200.33140 -144.68031
668225.61120 7803220.33140 -144.62369
668225.61120 7803240.33140 -144.99144
668225.61120 7803260.33140 -145.19433
668225.61120 7803280.33140 -145.01926
668225.61120 7803300.33140 -145.44243
668225.61120 7803320.33140 -145.82744
668225.61120 7803340.33140 -146.34064
668225.61120 7803360.33140 -146.70251
668225.61120 7803380.33140 -146.99696
668225.61120 7803400.33140 -147.14941
668225.61120 7803420.33140 -146.82898
668225.61120 7803440.33140 -146.70516
668225.61120 7803460.33140 -145.16276
668225.61120 7803480.33140 -145.23607
668225.61120 7803500.33140 -145.16322
668225.61120 7803520.33140 -145.33299
668225.61120 7803540.33140 -145.42259
668225.61120 7803560.33140 -145.96551
668225.61120 7803580.33140 -146.26916
668225.61120 7803600.33140 -146.32456
668225.61120 7803620.33140 -146.40545
668225.61120 7803640.33140 -146.62025
668225.61120 7803660.33140 -146.74204
668225.61120 7803680.33140 -146.92339
668225.61120 7803700.33140 -147.08778
668225.61120 7803720.33140 -147.23400
668225.61120 7803740.33140 -147.39758
668225.61120 7803760.33140 -147.50735
668225.61120 7803780.33140 -147.70143
668225.61120 7803800.33140 -147.77835
668225.61120 7803820.33140 -147.81317
668225.61120 7803840.33140 -147.96314
668225.61120 7803860.33140 -147.98483
668225.61120 7803880.33140 -147.86237
668225.61120 7803900.33140 -147.82753
668225.61120 7803920.33140 -147.99836
668225.61120 7803940.33140 -148.05120
668225.61120 7803960.33140 -148.08857
668225.61120 7803980.33140 -148.34767
668225.61120 7804000.33140 -148.52373
668225.61120 7804020.33140 -148.53527
668225.61120 7804040.33140 -148.63377
