ANTENNA "BRUC0020"
LOCATION 671345.075 7803200.709 1098.000
FREQUENCY 2600.00000000
POWER 0.126 W EIRP
ANTENNA_TYPE ISO
LOWER_LEFT 668195.61120000 7802110.33140000
UPPER_RIGHT 671915.61120000 7804350.33140000
HEIGHT 5.00000000
RESOLUTION 20.00000000
RECEIVER_GAIN 0.00000000
               
BEGIN_DATA
668205.61120 7802120.33140 -154.99740
668205.61120 7802140.33140 -154.71029
668205.61120 7802160.33140 -155.60448
668205.61120 7802180.33140 -156.04519
668205.61120 7802200.33140 -156.79834
668205.61120 7802220.33140 -156.62851
668205.61120 7802240.33140 -156.53437
668205.61120 7802260.33140 -156.43106
668205.61120 7802280.33140 -157.11434
668205.61120 7802300.33140 -157.73425
668205.61120 7802320.33140 -157.28500
668205.61120 7802340.33140 -156.04797
668205.61120 7802360.33140 -154.81859
668205.61120 7802380.33140 -155.46656
668205.61120 7802400.33140 -156.03814
668205.61120 7802420.33140 -157.60480
668205.61120 7802440.33140 -158.26298
668205.61120 7802460.33140 -158.61453
668205.61120 7802480.33140 -158.42028
668205.61120 7802500.33140 -158.04100
668205.61120 7802520.33140 -158.42057
668205.61120 7802540.33140 -158.70555
668205.61120 7802560.33140 -158.72615
668205.61120 7802580.33140 -158.19987
668205.61120 7802600.33140 -157.04628
668205.61120 7802620.33140 -157.47734
668205.61120 7802640.33140 -158.52343
668205.61120 7802660.33140 -159.34392
668205.61120 7802680.33140 -159.35660
668205.61120 7802700.33140 -158.73874
668205.61120 7802720.33140 -157.89748
668205.61120 7802740.33140 -156.88231
668205.61120 7802760.33140 -156.04251
668205.61120 7802780.33140 -157.01821
668205.61120 7802800.33140 -158.15314
668205.61120 7802820.33140 -158.93144
668205.61120 7802840.33140 -159.34249
668205.61120 7802860.33140 -159.37518
668205.61120 7802880.33140 -159.33510
668205.61120 7802900.33140 -159.32545
668205.61120 7802920.33140 -159.27229
668205.61120 7802940.33140 -158.78069
668205.61120 7802960.33140 -158.11129
668205.61120 7802980.33140 -156.43558
668205.61120 7803000.33140 -155.55296
668205.61120 7803020.33140 -155.76013
668205.61120 7803040.33140 -156.48654
668205.61120 7803060.33140 -156.82303
668205.61120 7803080.33140 -157.04130
668205.61120 7803100.33140 -156.99561
668205.61120 7803120.33140 -156.23750
668205.61120 7803140.33140 -154.41581
668205.61120 7803160.33140 -152.31504
668205.61120 7803180.33140 -150.74222
668205.61120 7803200.33140 -148.12557
668205.61120 7803220.33140 -148.18336
668205.61120 7803240.33140 -150.53242
668205.61120 7803260.33140 -150.97144
668205.61120 7803280.33140 -152.30473
668205.61120 7803300.33140 -153.00101
668205.61120 7803320.33140 -153.53882
668205.61120 7803340.33140 -154.29439
668205.61120 7803360.33140 -154.51993
668205.61120 7803380.33140 -155.13911
668205.61120 7803400.33140 -155.83709
668205.61120 7803420.33140 -156.14264
668205.61120 7803440.33140 -156.12739
668205.61120 7803460.33140 -156.49564
668205.61120 7803480.33140 -156.54145
668205.61120 7803500.33140 -156.48668
668205.61120 7803520.33140 -156.39857
668205.61120 7803540.33140 -156.35624
668205.61120 7803560.33140 -156.40823
668205.61120 7803580.33140 -156.40242
668205.61120 7803600.33140 -156.35499
668205.61120 7803620.33140 -156.25889
668205.61120 7803640.33140 -156.33091
668205.61120 7803660.33140 -156.22808
668205.61120 7803680.33140 -156.37294
668205.61120 7803700.33140 -156.46197
668205.61120 7803720.33140 -156.48472
668205.61120 7803740.33140 -156.60662
668205.61120 7803760.33140 -156.71146
668205.61120 7803780.33140 -156.73919
668205.61120 7803800.33140 -156.78364
668205.61120 7803820.33140 -156.82953
668205.61120 7803840.33140 -156.80172
668205.61120 7803860.33140 -156.70302
668205.61120 7803880.33140 -156.55879
668205.61120 7803900.33140 -156.55184
668205.61120 7803920.33140 -156.59753
668205.61120 7803940.33140 -156.28590
668205.61120 7803960.33140 -156.08274
668205.61120 7803980.33140 -156.20050
668205.61120 7804000.33140 -156.04732
668205.61120 7804020.33140 -155.91582
668205.61120 7804040.33140 -155.98521
668205.61120 7804060.33140 -156.00792
668205.61120 7804080.33140 -156.12964
668205.61120 7804100.33140 -156.31170
668205.61120 7804120.33140 -156.40270
668205.61120 7804140.33140 -156.42191
668205.61120 7804160.33140 -156.31880
668205.61120 7804180.33140 -156.34758
668205.61120 7804200.33140 -156.45214
668205.61120 7804220.33140 -156.42657
668205.61120 7804240.33140 -156.52897
668205.61120 7804260.33140 -156.45242
668205.61120 7804280.33140 -156.49560
668205.61120 7804300.33140 -156.41752
668205.61120 7804320.33140 -156.36800
668205.61120 7804340.33140 -156.26605
668205.61120 7804360.33140 -156.09296
668225.61120 7802120.33140 -154.88607
668225.61120 7802140.33140 -154.63379
668225.61120 7802160.33140 -154.89574
668225.61120 7802180.33140 -155.94379
668225.61120 7802200.33140 -156.81774
668225.61120 7802220.33140 -156.69226
668225.61120 7802240.33140 -156.50802
668225.61120 7802260.33140 -156.45314
668225.61120 7802280.33140 -157.13281
668225.61120 7802300.33140 -157.06657
668225.61120 7802320.33140 -157.08966
668225.61120 7802340.33140 -155.64442
668225.61120 7802360.33140 -154.24182
668225.61120 7802380.33140 -154.36815
668225.61120 7802400.33140 -155.22540
668225.61120 7802420.33140 -156.89209
668225.61120 7802440.33140 -157.50882
668225.61120 7802460.33140 -157.94469
668225.61120 7802480.33140 -157.78330
668225.61120 7802500.33140 -157.38061
668225.61120 7802520.33140 -157.47617
668225.61120 7802540.33140 -157.91885
668225.61120 7802560.33140 -158.15593
668225.61120 7802580.33140 -157.42039
668225.61120 7802600.33140 -156.02680
668225.61120 7802620.33140 -157.47647
668225.61120 7802640.33140 -158.43145
668225.61120 7802660.33140 -158.96600
668225.61120 7802680.33140 -158.57186
668225.61120 7802700.33140 -157.65602
668225.61120 7802720.33140 -156.00101
668225.61120 7802740.33140 -154.23363
668225.61120 7802760.33140 -155.92978
668225.61120 7802780.33140 -157.45798
668225.61120 7802800.33140 -158.49671
668225.61120 7802820.33140 -159.23454
668225.61120 7802840.33140 -159.67392
668225.61120 7802860.33140 -159.63999
668225.61120 7802880.33140 -159.21596
668225.61120 7802900.33140 -158.78590
668225.61120 7802920.33140 -158.27898
668225.61120 7802940.33140 -157.49390
668225.61120 7802960.33140 -156.18855
668225.61120 7802980.33140 -153.49935
668225.61120 7803000.33140 -150.57391
668225.61120 7803020.33140 -153.00061
668225.61120 7803040.33140 -155.17407
668225.61120 7803060.33140 -156.02529
668225.61120 7803080.33140 -156.66264
668225.61120 7803100.33140 -157.03956
668225.61120 7803120.33140 -156.39538
668225.61120 7803140.33140 -155.21628
668225.61120 7803160.33140 -154.31788
668225.61120 7803180.33140 -154.25145
668225.61120 7803200.33140 -153.61725
668225.61120 7803220.33140 -152.87607
668225.61120 7803240.33140 -149.99524
668225.61120 7803260.33140 -150.53307
668225.61120 7803280.33140 -152.01494
668225.61120 7803300.33140 -152.73173
668225.61120 7803320.33140 -153.31478
668225.61120 7803340.33140 -154.05252
668225.61120 7803360.33140 -154.33945
668225.61120 7803380.33140 -154.93715
668225.61120 7803400.33140 -155.74600
668225.61120 7803420.33140 -156.10000
668225.61120 7803440.33140 -156.31372
668225.61120 7803460.33140 -156.45606
668225.61120 7803480.33140 -156.46221
668225.61120 7803500.33140 -156.40274
668225.61120 7803520.33140 -156.30965
668225.61120 7803540.33140 -156.36275
668225.61120 7803560.33140 -156.35358
668225.61120 7803580.33140 -156.31014
668225.61120 7803600.33140 -156.25977
668225.61120 7803620.33140 -156.21479
668225.61120 7803640.33140 -156.23196
668225.61120 7803660.33140 -156.15613
668225.61120 7803680.33140 -156.31858
668225.61120 7803700.33140 -156.36322
668225.61120 7803720.33140 -156.35652
668225.61120 7803740.33140 -156.51052
668225.61120 7803760.33140 -156.61747
668225.61120 7803780.33140 -156.64507
668225.61120 7803800.33140 -156.71674
668225.61120 7803820.33140 -156.76316
668225.61120 7803840.33140 -156.65268
668225.61120 7803860.33140 -156.63006
668225.61120 7803880.33140 -156.76054
668225.61120 7803900.33140 -156.36544
668225.61120 7803920.33140 -156.45067
668225.61120 7803940.33140 -156.22918
668225.61120 7803960.33140 -156.09624
668225.61120 7803980.33140 -156.24019
668225.61120 7804000.33140 -156.15514
668225.61120 7804020.33140 -156.04650
668225.61120 7804040.33140 -156.01714
