ANTENNA "BRUC0030"
LOCATION 670739.820 7803701.130 44.000
FREQUENCY 2600.000
POWER 23.000 W  EIRP
ANTENNATYPE ISO
LOWER_LEFT 664740.00000000 7799900.00000000
UPPER_RIGHT 672760.00000000 7805400.00000000
HEIGHT 1.500 
RESOLUTION 20.00000000
RECEIVER_GAIN 0.000

BEGIN_DATA
664750.00000 7800350.00000 -202.6766
664750.00000 7800370.00000 -203.3716
664750.00000 7800390.00000 -203.3616
664750.00000 7800410.00000 -203.3527
664750.00000 7800430.00000 -203.3468
664750.00000 7800450.00000 -204.2717
664750.00000 7800470.00000 -205.1938
664750.00000 7800490.00000 -206.1168
664750.00000 7800510.00000 -207.0462
664750.00000 7800530.00000 -192.5758
664750.00000 7800550.00000 -192.5739
664750.00000 7800570.00000 -191.5948
664750.00000 7800590.00000 -151.4108
664750.00000 7800610.00000 -151.2480
664750.00000 7800630.00000 -151.1227
664750.00000 7800650.00000 -151.0273
664750.00000 7800670.00000 -150.9704
664750.00000 7800690.00000 -150.9698
664750.00000 7800710.00000 -151.0126
664750.00000 7800730.00000 -151.0917
664750.00000 7800750.00000 -151.2186
664750.00000 7800770.00000 -151.3624
664750.00000 7800790.00000 -151.5258
664750.00000 7800810.00000 -155.4493
664750.00000 7800830.00000 -156.9014
664750.00000 7800850.00000 -161.7136
664750.00000 7800870.00000 -158.0480
664750.00000 7800890.00000 -157.8197
664750.00000 7800910.00000 -161.8486
664750.00000 7800930.00000 -166.6830
664750.00000 7800950.00000 -162.8260
664750.00000 7800970.00000 -163.3071
664750.00000 7800990.00000 -160.8314
664750.00000 7801010.00000 -160.7421
664750.00000 7801030.00000 -166.5179
664750.00000 7801050.00000 -166.5143
664750.00000 7801070.00000 -176.9272
664750.00000 7801090.00000 -177.1062
664750.00000 7801110.00000 -179.4387
664750.00000 7801130.00000 -170.8228
664750.00000 7801150.00000 -168.9108
664750.00000 7801170.00000 -171.0052
664750.00000 7801190.00000 -172.1984
664750.00000 7801210.00000 -173.4205
664750.00000 7801230.00000 -173.5822
664750.00000 7801250.00000 -173.7367
664750.00000 7801270.00000 -173.9088
664750.00000 7801290.00000 -176.2866
664750.00000 7801310.00000 -176.4754
664750.00000 7801330.00000 -177.7548
664750.00000 7801350.00000 -179.0156
664750.00000 7801370.00000 -177.6103
664750.00000 7801390.00000 -177.6893
664750.00000 7801410.00000 -178.8263
664750.00000 7801430.00000 -180.8983
664750.00000 7801450.00000 -182.1999
664750.00000 7801470.00000 -183.3879
664750.00000 7801490.00000 -180.8187
664750.00000 7801510.00000 -177.3897
664750.00000 7801530.00000 -175.3306
664750.00000 7801550.00000 -174.6400
664750.00000 7801570.00000 -174.0014
664750.00000 7801590.00000 -172.9653
664750.00000 7801610.00000 -172.9296
664750.00000 7801630.00000 -172.5196
664750.00000 7801650.00000 -172.2086
664750.00000 7801670.00000 -172.0053
664750.00000 7801690.00000 -171.9124
664750.00000 7801710.00000 -171.9195
664750.00000 7801730.00000 -171.9267
664750.00000 7801750.00000 -172.0069
664750.00000 7801770.00000 -172.1659
664750.00000 7801790.00000 -172.4018
664750.00000 7801810.00000 -172.3912
664750.00000 7801830.00000 -172.6889
664750.00000 7801850.00000 -173.0434
664750.00000 7801870.00000 -172.3653
664750.00000 7801890.00000 -172.6534
664750.00000 7801910.00000 -172.9948
664750.00000 7801930.00000 -177.9802
664750.00000 7801950.00000 -171.9990
664750.00000 7801970.00000 -172.0692
664750.00000 7801990.00000 -170.5018
664750.00000 7802010.00000 -169.2547
664750.00000 7802030.00000 -156.0315
664750.00000 7802050.00000 -155.9051
664750.00000 7802070.00000 -155.7878
664750.00000 7802090.00000 -155.6722
664750.00000 7802110.00000 -155.5623
664750.00000 7802130.00000 -155.4498
664750.00000 7802150.00000 -195.9665
664750.00000 7802170.00000 -198.9684
664750.00000 7802190.00000 -201.6354
664750.00000 7802210.00000 -203.5799
664750.00000 7802230.00000 -198.7747
664750.00000 7802250.00000 -198.7798
664750.00000 7802270.00000 -198.7827
664750.00000 7802290.00000 -198.7779
664750.00000 7802310.00000 -200.5757
664750.00000 7802330.00000 -203.9787
664750.00000 7802350.00000 -198.5984
664750.00000 7802370.00000 -198.6053
664750.00000 7802390.00000 -198.6137
664750.00000 7802410.00000 -198.6236
664750.00000 7802430.00000 -194.8713
664750.00000 7802450.00000 -194.8746
664750.00000 7802470.00000 -194.7166
664750.00000 7802490.00000 -194.7144
664750.00000 7802510.00000 -194.5152
664750.00000 7802530.00000 -194.5075
664750.00000 7802550.00000 -194.3246
664750.00000 7802570.00000 -194.3169
664750.00000 7802590.00000 -194.1629
664750.00000 7802610.00000 -194.1552
664750.00000 7802630.00000 -194.0128
664750.00000 7802650.00000 -194.0051
664750.00000 7802670.00000 -193.8828
664750.00000 7802690.00000 -193.8788
664750.00000 7802710.00000 -193.7978
664750.00000 7802730.00000 -193.7919
664750.00000 7802750.00000 -193.7348
664750.00000 7802770.00000 -193.7308
664750.00000 7802790.00000 -193.7052
664750.00000 7802810.00000 -193.7030
664750.00000 7802830.00000 -193.7241
664750.00000 7802850.00000 -193.7252
