ANTENNA "BRUC0020"
LOCATION 671354.380 7803206.720 5.000
FREQUENCY 2600.000
POWER 0.200 W  EIRP
ANTENNATYPE ISO
LOWER_LEFT 664740.00000000 7799900.00000000
UPPER_RIGHT 672760.00000000 7805400.00000000
HEIGHT 1.500 
RESOLUTION 20.00000000
RECEIVER_GAIN 0.000

BEGIN_DATA
664750.00000 7800350.00000 -226.1026
664750.00000 7800370.00000 -225.5769
664750.00000 7800390.00000 -211.7100
664750.00000 7800410.00000 -211.6961
664750.00000 7800430.00000 -207.1430
664750.00000 7800450.00000 -207.1381
664750.00000 7800470.00000 -207.1372
664750.00000 7800490.00000 -207.1358
664750.00000 7800510.00000 -209.7186
664750.00000 7800530.00000 -209.3646
664750.00000 7800550.00000 -209.3619
664750.00000 7800570.00000 -208.3980
664750.00000 7800590.00000 -168.6957
664750.00000 7800610.00000 -169.0758
664750.00000 7800630.00000 -169.4629
664750.00000 7800650.00000 -169.8512
664750.00000 7800670.00000 -170.2410
664750.00000 7800690.00000 -170.6347
664750.00000 7800710.00000 -171.0306
664750.00000 7800730.00000 -171.4286
664750.00000 7800750.00000 -171.8333
664750.00000 7800770.00000 -172.2397
664750.00000 7800790.00000 -172.6504
664750.00000 7800810.00000 -173.0646
664750.00000 7800830.00000 -178.9917
664750.00000 7800850.00000 -177.9093
664750.00000 7800870.00000 -181.9454
664750.00000 7800890.00000 -182.0859
664750.00000 7800910.00000 -182.3232
664750.00000 7800930.00000 -187.0886
664750.00000 7800950.00000 -183.1626
664750.00000 7800970.00000 -183.7782
664750.00000 7800990.00000 -182.3664
664750.00000 7801010.00000 -182.1225
664750.00000 7801030.00000 -182.0548
664750.00000 7801050.00000 -181.8610
664750.00000 7801070.00000 -183.1467
664750.00000 7801090.00000 -185.1425
664750.00000 7801110.00000 -187.2645
664750.00000 7801130.00000 -189.4091
664750.00000 7801150.00000 -191.5437
664750.00000 7801170.00000 -195.0420
664750.00000 7801190.00000 -196.9957
664750.00000 7801210.00000 -198.8822
664750.00000 7801230.00000 -199.4795
664750.00000 7801250.00000 -200.0638
664750.00000 7801270.00000 -200.6831
664750.00000 7801290.00000 -203.7044
664750.00000 7801310.00000 -204.2985
664750.00000 7801330.00000 -199.0122
664750.00000 7801350.00000 -200.3259
664750.00000 7801370.00000 -202.6042
664750.00000 7801390.00000 -203.0479
664750.00000 7801410.00000 -204.4697
664750.00000 7801430.00000 -206.7603
664750.00000 7801450.00000 -208.1890
664750.00000 7801470.00000 -209.5810
664750.00000 7801490.00000 -208.5383
664750.00000 7801510.00000 -209.8432
664750.00000 7801530.00000 -199.5611
664750.00000 7801550.00000 -191.0394
664750.00000 7801570.00000 -191.4167
664750.00000 7801590.00000 -191.7523
664750.00000 7801610.00000 -191.8309
664750.00000 7801630.00000 -190.9614
664750.00000 7801650.00000 -190.0763
664750.00000 7801670.00000 -189.1631
664750.00000 7801690.00000 -187.0635
664750.00000 7801710.00000 -186.0353
664750.00000 7801730.00000 -184.9772
664750.00000 7801750.00000 -183.8913
664750.00000 7801770.00000 -181.4379
664750.00000 7801790.00000 -183.0895
664750.00000 7801810.00000 -183.4530
664750.00000 7801830.00000 -183.8810
664750.00000 7801850.00000 -185.7825
664750.00000 7801870.00000 -187.6770
664750.00000 7801890.00000 -189.5042
664750.00000 7801910.00000 -192.4850
664750.00000 7801930.00000 -195.2540
664750.00000 7801950.00000 -192.3687
664750.00000 7801970.00000 -190.5846
664750.00000 7801990.00000 -222.5541
664750.00000 7802010.00000 -222.3291
664750.00000 7802030.00000 -222.1014
664750.00000 7802050.00000 -221.8751
664750.00000 7802070.00000 -221.6412
664750.00000 7802090.00000 -221.4041
664750.00000 7802110.00000 -221.1612
664750.00000 7802130.00000 -220.9180
664750.00000 7802950.00000 -248.1343
664750.00000 7802970.00000 -248.1339
664750.00000 7802990.00000 -247.2460
664750.00000 7803010.00000 -247.2456
664750.00000 7803030.00000 -235.9947
664750.00000 7803050.00000 -235.9966
664750.00000 7803070.00000 -235.7751
664750.00000 7803090.00000 -235.7747
664750.00000 7803110.00000 -235.7761
664750.00000 7803130.00000 -235.4210
664750.00000 7803150.00000 -235.4205
664750.00000 7803170.00000 -235.1898
664750.00000 7803190.00000 -235.1963
664750.00000 7803210.00000 -234.9634
664750.00000 7803230.00000 -234.9606
664750.00000 7803250.00000 -234.7227
664750.00000 7803270.00000 -234.7199
664750.00000 7803290.00000 -234.4797
664750.00000 7803310.00000 -234.4862
664750.00000 7803330.00000 -234.4969
664750.00000 7803350.00000 -234.5095
664750.00000 7803370.00000 -234.0451
664750.00000 7803390.00000 -234.0400
664750.00000 7803410.00000 -233.7957
664750.00000 7803430.00000 -233.7859
664750.00000 7803450.00000 -233.5594
664750.00000 7803470.00000 -233.5659
664750.00000 7803490.00000 -233.3466
664750.00000 7803510.00000 -233.3485
664750.00000 7803530.00000 -233.1100
664750.00000 7803550.00000 -233.1003
664750.00000 7803570.00000 -232.8544
664750.00000 7803590.00000 -232.8446
664750.00000 7803610.00000 -232.6058
664750.00000 7803630.00000 -232.5960
664750.00000 7803650.00000 -232.3669
